issue,id,state,labels,assignees,comments,closed_at,created_at,locked,last_update
94,648603,closed,"[Label(name=""bug"")]",[],4,2011-03-23 17:40:10,2011-03-05 03:58:29,False,2011-03-23 17:40:10
95,329674,closed,"[Label(name=""bug"")]",[],4,2011-02-16 01:19:42,2010-09-23 11:00:32,False,2011-02-16 01:19:42
96,288990,closed,"[Label(name=""bug"")]",[],1,2010-08-27 18:48:26,2010-08-24 22:45:12,False,2010-08-27 18:48:26
97,282767,closed,"[Label(name=""bug"")]",[],1,2010-08-20 15:41:19,2010-08-18 22:53:30,False,2010-08-20 15:41:19
98,252749,closed,"[Label(name=""bug"")]",[],1,2010-07-19 16:07:49,2010-07-19 15:17:53,False,2010-07-19 16:07:49
99,203692,closed,"[Label(name=""bug"")]",[],3,2010-05-23 03:55:29,2010-05-22 16:13:58,False,2010-06-21 23:15:18
100,192741,closed,"[Label(name=""bug"")]",[],8,2010-05-14 13:51:34,2010-05-11 13:31:17,False,2010-05-16 18:23:14
101,187853,closed,"[Label(name=""bug"")]",[],3,2010-06-04 03:36:32,2010-05-06 05:17:29,False,2010-06-04 03:36:32
102,176368,closed,"[Label(name=""bug"")]",[],3,2010-04-21 18:46:07,2010-04-21 10:10:28,False,2010-04-21 18:46:07
103,170926,closed,"[Label(name=""bug"")]",[],2,2010-04-13 20:26:35,2010-04-13 20:01:00,False,2010-04-13 20:26:35
104,166313,closed,"[Label(name=""bug"")]",[],1,2010-04-21 20:31:48,2010-04-06 22:28:46,False,2010-04-21 20:31:48
105,157778,closed,"[Label(name=""bug"")]",[],19,2010-03-25 16:30:16,2010-03-24 17:15:09,False,2010-03-29 14:50:48
106,147210,closed,"[Label(name=""bug"")]",[],1,2010-04-21 20:32:02,2010-03-09 02:56:37,False,2010-04-21 20:32:02
107,130057,closed,"[Label(name=""bug"")]",[],8,2010-03-26 23:09:05,2010-02-10 20:32:13,False,2010-03-26 23:09:05
108,128974,closed,"[Label(name=""bug"")]",[],2,2010-02-10 15:15:29,2010-02-09 15:57:23,False,2010-02-10 15:15:29
109,125918,closed,"[Label(name=""bug"")]",[],3,2010-02-05 21:58:01,2010-02-04 21:50:24,False,2010-02-05 21:58:01
110,125913,closed,"[Label(name=""bug"")]",[],1,2010-02-04 21:54:25,2010-02-04 21:43:45,False,2010-02-04 21:54:25
111,125775,closed,"[Label(name=""bug"")]",[],3,2010-07-15 23:30:38,2010-02-04 17:48:09,False,2010-07-15 23:30:38
112,123855,closed,"[Label(name=""bug"")]",[],9,2010-02-03 19:35:49,2010-02-01 21:00:56,False,2010-02-03 19:35:49
113,122848,closed,"[Label(name=""bug"")]",[],3,2010-02-01 23:13:36,2010-01-31 05:26:55,False,2010-02-01 23:13:36
114,122111,closed,"[Label(name=""bug"")]",[],1,2010-02-03 21:26:20,2010-01-29 15:51:22,False,2010-02-03 21:26:20
115,111649,closed,"[Label(name=""bug"")]",[],1,2010-01-19 23:03:49,2010-01-12 22:13:27,False,2010-01-19 23:03:49
116,107488,closed,"[Label(name=""bug"")]",[],13,2010-02-04 21:50:54,2010-01-06 12:56:53,False,2010-02-04 21:50:54
117,105633,closed,"[Label(name=""bug"")]",[],1,2010-01-03 13:31:18,2010-01-03 13:13:29,False,2010-01-03 13:31:18
118,104484,closed,"[Label(name=""bug"")]",[],1,2009-12-30 23:07:04,2009-12-30 22:07:10,False,2009-12-30 23:07:04
119,104455,closed,"[Label(name=""bug"")]",[],14,2009-12-30 22:40:36,2009-12-30 21:01:36,False,2009-12-30 22:40:36
120,98279,closed,"[Label(name=""bug"")]",[],0,2009-12-16 00:37:24,2009-12-16 00:26:00,False,2009-12-16 00:37:24
121,98189,closed,"[Label(name=""bug"")]",[],0,2009-12-16 01:07:55,2009-12-15 21:10:36,False,2009-12-16 01:07:55
122,95587,closed,"[Label(name=""bug"")]",[],0,2009-12-11 17:52:52,2009-12-10 22:41:50,False,2009-12-11 17:52:52
123,35052,closed,"[Label(name=""bug"")]",[],0,2009-11-30 07:00:02,2009-07-09 20:59:04,False,2009-11-30 07:00:02
